# Run number : 3
# Parameter set number : 1
# Cost function : 0.286278199
#      ChiH            EtaH            ChiO            EtaO
#      7.5308e-01      1.0182e-01      1.0000e+00      1.0000e+00
# Distance     Computed     Reference
  2.50000      -1.15521444  -2.86500000 
  2.75000      -0.92710858  -2.13300000 
  3.00000      -0.73591894  -1.60400000 
  3.25000      -0.58241928  -1.22300000 
  3.50000      -0.46151352  -0.94700000 
  3.75000      -0.36708402  -0.74400000 
  4.00000      -0.29349470  -0.59300000 
  4.25000      -0.23606089  -0.47900000 
  4.50000      -0.19109847  -0.39100000 
  4.75000      -0.15573446  -0.32200000 
  5.00000      -0.12777379  -0.26800000 
  5.25000      -0.10553920  -0.22500000 
  5.50000      -0.08774615  -0.19000000 
  5.75000      -0.07342686  -0.16200000 
  6.00000      -0.06182976  -0.13900000 
  6.25000      -0.05237863  -0.12000000 
  6.50000      -0.04463281  -0.10400000 
  6.75000      -0.03824868  -0.09000000 
  7.00000      -0.03294805  -0.07900000 
  7.25000      -0.02853106  -0.06900000 
  7.50000      -0.02482003  -0.06100000 
  7.75000      -0.02169225  -0.05400000 
  8.00000      -0.01904720  -0.04800000 
  8.25000      -0.01679019  -0.04300000 
  8.50000      -0.01486163  -0.03800000 
  8.75000      -0.01320423  -0.03400000 
  9.00000      -0.01176775  -0.03100000 
  9.25000      -0.01052762  -0.02800000 
  9.50000      -0.00944879  -0.02500000 
  9.75000      -0.00850438  -0.02300000 
  10.00000     -0.00767802  -0.02100000 
