# Run number : 3
# Parameter set number : 1
# Cost function : 0.286278199
#      ChiH            EtaH            ChiO            EtaO
#      7.5308e-01      1.0182e-01      1.0000e+00      1.0000e+00
# Distance     Computed     Reference
  2.50000      -4.95665697  -8.74600000 
  2.75000      -3.53469058  -6.10200000 
  3.00000      -2.58792702  -4.37000000 
  3.25000      -1.93829787  -3.21100000 
  3.50000      -1.48068356  -2.41600000 
  3.75000      -1.15085004  -1.85500000 
  4.00000      -0.90823904  -1.45000000 
  4.25000      -0.72655196  -1.15100000 
  4.50000      -0.58827043  -0.92700000 
  4.75000      -0.48150980  -0.75500000 
  5.00000      -0.39800416  -0.62200000 
  5.25000      -0.33190468  -0.51700000 
  5.50000      -0.27904566  -0.43300000 
  5.75000      -0.23633440  -0.36600000 
  6.00000      -0.20152908  -0.31200000 
  6.25000      -0.17292322  -0.26700000 
  6.50000      -0.14923578  -0.23000000 
  6.75000      -0.12947326  -0.19900000 
  7.00000      -0.11290164  -0.17400000 
  7.25000      -0.09889909  -0.15200000 
  7.50000      -0.08700979  -0.13300000 
  7.75000      -0.07686204  -0.11800000 
  8.00000      -0.06814727  -0.10400000 
  8.25000      -0.06064340  -0.09300000 
  8.50000      -0.05414239  -0.08300000 
  8.75000      -0.04849228  -0.07400000 
  9.00000      -0.04356918  -0.06600000 
  9.25000      -0.03925153  -0.06000000 
  9.50000      -0.03545752  -0.05400000 
  9.75000      -0.03210767  -0.04900000 
  10.00000     -0.02914820  -0.04400000 
