# Run number : 3
# Parameter set number : 1
# Cost function : 0.286278199
#      ChiH            EtaH            ChiO            EtaO
#      7.5308e-01      1.0182e-01      1.0000e+00      1.0000e+00
# Distance     Computed     Reference
  2.50000      6.99711496   5.43700000  
  2.75000      5.69220889   4.64500000  
  3.00000      4.68752763   3.97300000  
  3.25000      3.90359096   3.40900000  
  3.50000      3.28399130   2.93800000  
  3.75000      2.78840415   2.54300000  
  4.00000      2.38757144   2.21300000  
  4.25000      2.06001947   1.93500000  
  4.50000      1.78981949   1.70000000  
  4.75000      1.56497466   1.50000000  
  5.00000      1.37637747   1.33000000  
  5.25000      1.21699628   1.18400000  
  5.50000      1.08139135   1.05800000  
  5.75000      0.96527778   0.94900000  
  6.00000      0.86527298   0.85500000  
  6.25000      0.77867228   0.77200000  
  6.50000      0.70328764   0.70000000  
  6.75000      0.63736114   0.63600000  
  7.00000      0.57945747   0.58000000  
  7.25000      0.52838209   0.53000000  
  7.50000      0.48315551   0.48600000  
  7.75000      0.44295723   0.44600000  
  8.00000      0.40711165   0.41100000  
  8.25000      0.37504373   0.37900000  
  8.50000      0.34626254   0.35000000  
  8.75000      0.32036134   0.32400000  
  9.00000      0.29699182   0.30100000  
  9.25000      0.27583840   0.28000000  
  9.50000      0.25665328   0.26100000  
  9.75000      0.23920971   0.24300000  
  10.00000     0.22331133   0.22700000  
