# Run number : 3
# Parameter set number : 1
# Cost function : 0.286278199
#      ChiH            EtaH            ChiO            EtaO
#      7.5308e-01      1.0182e-01      1.0000e+00      1.0000e+00
# Distance     Computed     Reference
  2.50000      -12.17793416 -12.40300000
  2.75000      -9.41415017  -9.54400000 
  3.00000      -7.43114702  -7.51300000 
  3.25000      -5.97147429  -6.03000000 
  3.50000      -4.87297833  -4.92000000 
  3.75000      -4.03020761  -4.07300000 
  4.00000      -3.37261641  -3.41200000 
  4.25000      -2.85179663  -2.89000000 
  4.50000      -2.43380087  -2.47000000 
  4.75000      -2.09431752  -2.12900000 
  5.00000      -1.81564588  -1.84800000 
  5.25000      -1.58469510  -1.61600000 
  5.50000      -1.39160027  -1.42100000 
  5.75000      -1.22886922  -1.25600000 
  6.00000      -1.09073495  -1.11600000 
  6.25000      -0.97269282  -0.99600000 
  6.50000      -0.87119425  -0.89300000 
  6.75000      -0.78342473  -0.80400000 
  7.00000      -0.70713074  -0.72600000 
  7.25000      -0.64047957  -0.65800000 
  7.50000      -0.58199850  -0.59800000 
  7.75000      -0.53045559  -0.54600000 
  8.00000      -0.48485265  -0.49900000 
  8.25000      -0.44435514  -0.45700000 
  8.50000      -0.40825477  -0.42000000 
  8.75000      -0.37598113  -0.38700000 
  9.00000      -0.34703864  -0.35800000 
  9.25000      -0.32100186  -0.33100000 
  9.50000      -0.29751078  -0.30700000 
  9.75000      -0.27626619  -0.28500000 
  10.00000     -0.25699692  -0.26500000 
