# Run number : 3
# Parameter set number : 1
# Cost function : 0.286278199
#      ChiH            EtaH            ChiO            EtaO
#      7.5308e-01      1.0182e-01      1.0000e+00      1.0000e+00
# Distance     Computed     Reference
  2.50000      5.14400117   4.74900000  
  2.75000      3.63695824   3.90700000  
  3.00000      2.62675544   3.23900000  
  3.25000      1.93854099   2.70700000  
  3.50000      1.46275376   2.28100000  
  3.75000      1.12923143   1.93700000  
  4.00000      0.89217118   1.65800000  
  4.25000      0.72129341   1.42900000  
  4.50000      0.59627104   1.24000000  
  4.75000      0.50332595   1.08200000  
  5.00000      0.43303740   0.95000000  
  5.25000      0.37889969   0.83800000  
  5.50000      0.33640115   0.74300000  
  5.75000      0.30236726   0.66200000  
  6.00000      0.27457724   0.59200000  
  6.25000      0.25143447   0.53200000  
  6.50000      0.23182273   0.47900000  
  6.75000      0.21491215   0.43300000  
  7.00000      0.20011714   0.39300000  
  7.25000      0.18700992   0.35800000  
  7.50000      0.17525620   0.32700000  
  7.75000      0.16463390   0.29900000  
  8.00000      0.15495251   0.27400000  
  8.25000      0.14606475   0.25200000  
  8.50000      0.13787946   0.23300000  
  8.75000      0.13029962   0.21500000  
  9.00000      0.12326328   0.19900000  
  9.25000      0.11671201   0.18400000  
  9.50000      0.11059671   0.17100000  
  9.75000      0.10488115   0.15900000  
  10.00000     0.09952909   0.14900000  
