# Run number : 6
# Parameter set number : 1
# Cost function : 0.288199196
#      ChiH            EtaH            ChiO            EtaO
#      2.5061e-01      4.2224e-01      5.1844e-01      7.7169e-01
# Distance     Computed     Reference
  2.50000      6.91453970   5.43700000  
  2.75000      5.72346799   4.64500000  
  3.00000      4.78510127   3.97300000  
  3.25000      4.03741693   3.40900000  
  3.50000      3.43526552   2.93800000  
  3.75000      2.94548977   2.54300000  
  4.00000      2.54342277   2.21300000  
  4.25000      2.21052226   1.93500000  
  4.50000      1.93270620   1.70000000  
  4.75000      1.69914660   1.50000000  
  5.00000      1.50144659   1.33000000  
  5.25000      1.33305141   1.18400000  
  5.50000      1.18875275   1.05800000  
  5.75000      1.06442700   0.94900000  
  6.00000      0.95675236   0.85500000  
  6.25000      0.86305221   0.77200000  
  6.50000      0.78113850   0.70000000  
  6.75000      0.70922528   0.63600000  
  7.00000      0.64583981   0.58000000  
  7.25000      0.58976419   0.53000000  
  7.50000      0.53997217   0.48600000  
  7.75000      0.49561287   0.44600000  
  8.00000      0.45596159   0.41100000  
  8.25000      0.42042459   0.37900000  
  8.50000      0.38847354   0.35000000  
  8.75000      0.35967132   0.32400000  
  9.00000      0.33364623   0.30100000  
  9.25000      0.31006164   0.28000000  
  9.50000      0.28864407   0.26100000  
  9.75000      0.26915038   0.24300000  
  10.00000     0.25137486   0.22700000  
