# Run number : 9
# Parameter set number : 1
# Cost function : 0.282370824
#      ChiH            EtaH            ChiO            EtaO
#      1.0000e-08      9.7462e-02      6.5322e-02      5.7830e-01
# Distance     Computed     Reference
  2.50000      -13.69317758 -12.40300000
  2.75000      -10.36207322 -9.54400000 
  3.00000      -8.01013229  -7.51300000 
  3.25000      -6.30981219  -6.03000000 
  3.50000      -5.05417451  -4.92000000 
  3.75000      -4.10900522  -4.07300000 
  4.00000      -3.38514623  -3.41200000 
  4.25000      -2.82202896  -2.89000000 
  4.50000      -2.37771121  -2.47000000 
  4.75000      -2.02259832  -2.12900000 
  5.00000      -1.73540827  -1.84800000 
  5.25000      -1.50066582  -1.61600000 
  5.50000      -1.30690476  -1.42100000 
  5.75000      -1.14551552  -1.25600000 
  6.00000      -1.00999475  -1.11600000 
  6.25000      -0.89532585  -0.99600000 
  6.50000      -0.79761194  -0.89300000 
  6.75000      -0.71382578  -0.80400000 
  7.00000      -0.64153152  -0.72600000 
  7.25000      -0.57881462  -0.65800000 
  7.50000      -0.52412990  -0.59800000 
  7.75000      -0.47620801  -0.54600000 
  8.00000      -0.43403674  -0.49900000 
  8.25000      -0.39676520  -0.45700000 
  8.50000      -0.36368741  -0.42000000 
  8.75000      -0.33423532  -0.38700000 
  9.00000      -0.30791568  -0.35800000 
  9.25000      -0.28431941  -0.33100000 
  9.50000      -0.26309585  -0.30700000 
  9.75000      -0.24395982  -0.28500000 
  10.00000     -0.22664483  -0.26500000 
